,sub,motion
3,sub-0042,0.9718437
4,sub-0020,0.42663148
5,sub-0162,0.83141255
0,sub-0071,0.63236153
1,sub-0402,1.2431344
2,sub-0203,0.7124804
3,sub-0343,0.8662527
4,sub-0377,1.3106766
5,sub-0190,1.9075309
0,sub-0361,0.26558673
1,sub-0408,0.52253723
2,sub-0255,0.80986696
3,sub-0302,0.67229265
4,sub-0288,1.048683
5,sub-0351,0.5929709
0,sub-0388,0.8049626
1,sub-0394,0.63172185
2,sub-0185,0.74921066
3,sub-0206,0.50661707
4,sub-0271,1.0512805
5,sub-0355,0.67066914
0,sub-0140,0.9144378
1,sub-0241,0.500255
2,sub-0426,0.4797093
3,sub-0097,0.4609483
4,sub-0013,0.66526055
5,sub-0141,0.57748544
0,sub-0243,0.3160919
1,sub-0282,1.2466872
2,sub-0291,1.2379504
3,sub-0076,0.40512034
4,sub-0129,2.5444338
5,sub-0326,0.8323424
0,sub-0238,1.1443663
1,sub-0398,1.5475689
2,sub-0310,1.3367462
3,sub-0386,0.4667799
4,sub-0046,0.7907331
5,sub-0392,0.58927107
0,sub-0158,0.9125722
1,sub-0239,0.4246189
2,sub-0055,0.3567661
3,sub-0043,0.47475016
4,sub-0449,0.888983
5,sub-0066,1.3546394
0,sub-0005,0.38859373
1,sub-0073,0.3958141
2,sub-0443,0.6573524
3,sub-0236,0.4685865
4,sub-0105,0.3288888
5,sub-0304,1.2747235
0,sub-0422,1.0161892
