sub,motion,mean_thickness,residual,residual_z,outlier_type,cluster
sub-0115,0.6965886,2.3261176470588234,-0.12799461512142507,-0.9950144804679816,normal,2.0
sub-0385,0.61805737,2.499661764705882,0.037067649679324965,0.2881593741490858,normal,0.0
sub-0401,0.5489491,2.4573823529411767,-0.012675877655745627,-0.09854072226508837,normal,2.0
sub-0272,0.6187776,2.325147058823529,-0.13736926696076734,-1.0678918770728485,normal,2.0
sub-0169,0.50667787,2.42010294117647,-0.05452084063482232,-0.4238383456012631,normal,2.0
sub-0082,0.58802813,2.3823235294117646,-0.08351392708246674,-0.6492270529425713,normal,2.0
sub-0259,0.43593603,2.4054264705882353,-0.07683786233828993,-0.5973281422993705,normal,2.0
sub-0357,0.79069555,2.433897058823529,-0.010051077546962883,-0.07813584730925445,normal,2.0
sub-0110,1.0766361,2.2524852941176468,-0.16057951509889,-1.2483255068062395,normal,1.0
sub-0156,0.915808,2.513838235294118,0.08340300824824931,0.6483647834939869,normal,0.0
sub-0452,0.5366426,2.3584117647058824,-0.11297564311203967,-0.8782588293266838,normal,2.0
sub-0231,0.29614785,2.6427205882352944,0.14535827744170593,1.1299974672619642,normal,0.0
sub-0359,0.33673722,2.640735294117648,0.1477568833783991,1.1486439363941383,normal,0.0
sub-0384,0.6928109,2.5287647058823532,0.07424442901167527,0.5771671088710396,normal,0.0
sub-0021,1.6681281,2.3305735294117644,-0.018606528429189417,-0.14464487588574668,normal,1.0
sub-0254,0.8346633,2.268338235294118,-0.17086111533236759,-1.3282534092807923,normal,2.0
sub-0283,0.59363,2.6232205882352946,0.15798816794136394,1.2281806910012036,normal,0.0
sub-0127,0.6214037,2.5877647058823525,0.12553201494956312,0.9758705279799759,normal,0.0
sub-0058,0.48609418,2.424867647058823,-0.05197929908612409,-0.4040807125065685,normal,2.0
sub-0047,1.6041456,2.46625,0.1101594410789164,0.8563660192250849,normal,1.0
sub-0423,0.6466213,2.3271764705882356,-0.13233256540705884,-1.0287371753302696,normal,2.0
sub-0094,0.49197963,2.4556617647058827,-0.020549516865437933,-0.1597494303048138,normal,2.0
sub-0318,0.44500536,2.4953382352941174,0.014053445442043344,0.10924976571892867,normal,0.0
sub-0403,0.40227848,2.4633382352941178,-0.0225613187573952,-0.17538893211066195,normal,0.0
sub-0439,0.5237425,2.5931764705882356,0.1203957731210532,0.9359420123177787,normal,0.0
sub-0411,1.0446814,2.301808823529411,-0.11470728860378587,-0.8917204295486149,normal,1.0
sub-0032,1.2224159,2.298308823529412,-0.09901087623749216,-0.7696984399434863,normal,1.0
sub-0062,0.6829903,2.4041323529411764,-0.05144860875593871,-0.3999551907986604,normal,2.0
sub-0117,0.53201884,2.502676470588236,0.030789668428513384,0.239355115886049,normal,0.0
sub-0453,0.4012168,2.294941176470589,-0.19107304551022875,-1.4853784819731142,normal,2.0
sub-0056,1.568138,2.237632352941176,-0.12234724686910248,-0.9511125305127796,normal,1.0
sub-0298,0.83692,2.2644852941176468,-0.17447031911521504,-1.3563109179774366,normal,2.0
sub-0448,0.50030684,2.662911764705882,0.18759987271295353,1.4583784615177426,normal,0.0
sub-0363,1.2219764,2.3305441176470585,-0.06682305080620043,-0.5194742225533454,normal,1.0
sub-0116,0.6063316,2.5529117647058825,0.0890511948479209,0.6922730951813721,normal,0.0
sub-0170,0.8391925,2.435029411764706,-0.003680757577957827,-0.028613759146708218,normal,2.0
sub-0137,0.81321204,2.068823529411765,-0.37269268841122205,-2.8972673684897368,sensitive,2.0
sub-0068,0.498649,2.422705882352941,-0.05278506649320036,-0.4103446497602525,normal,2.0
sub-0018,0.75091136,2.5227647058823526,0.07451963381902127,0.5793065173777482,normal,0.0
sub-0336,0.42134798,2.4628382352941176,-0.02100169619892167,-0.16326461712855517,normal,0.0
sub-0092,0.62041736,2.5593088235294115,0.09696960184781744,0.7538298225457348,normal,0.0
sub-0432,0.6121379,2.3903823529411765,-0.07285110102694725,-0.5663355475625356,normal,2.0
sub-0265,1.1285138,2.350352941176471,-0.05710875934808479,-0.4439565090999961,normal,1.0
sub-0080,1.0850353,2.5201470588235297,0.10798941454540945,0.8394964984113321,normal,0.0
sub-0209,0.4906612,2.5750441176470584,0.09869043757710028,0.767207388996626,normal,0.0
sub-0081,0.50544256,2.592808823529412,0.11805162068753638,0.9177188580580409,normal,0.0
sub-0429,0.9394383,2.5809117647058826,0.1530287544954576,1.1896268175540825,normal,0.0
sub-0317,0.81624854,2.3198676470588246,-0.1213206102041684,-0.9431315826672809,normal,2.0
sub-0088,0.6555379,2.447308823529412,-0.011237165164962981,-0.08735634735837194,normal,0.0
sub-0340,0.3646433,2.5079117647058817,0.01794738117691974,0.13952074577959836,normal,0.0
sub-0152,0.5000878,2.4956764705882346,0.020340920936468443,0.1581278310703932,normal,0.0
sub-0365,0.8282446,2.4351029411764706,-0.0047896682830246284,-0.03723429531567656,normal,2.0
sub-0371,0.6459027,2.4185000000000008,-0.041086649187591195,-0.3194025846851263,normal,2.0
sub-0256,0.55477524,2.4410882352941172,-0.02834073657169922,-0.220317419207183,normal,2.0
sub-0223,1.579855,2.1799999999999997,-0.1787140921924788,-1.389301490742484,normal,1.0
sub-0155,1.0135685,2.340073529411765,-0.07980296609275994,-0.6203784961676856,normal,1.0
sub-0010,0.53486294,2.2916176470588234,-0.17996197491691168,-1.3990023783896608,normal,2.0
sub-0331,1.0247076,2.4951323529411757,0.07645894832215383,0.5943825110902015,normal,1.0
sub-0296,0.6928285,2.4727794117647055,0.01826103580160421,0.1419590584627587,normal,0.0
sub-0176,0.9877359,2.37725,-0.04541657420108347,-0.353062892063512,normal,2.0
sub-0188,1.0375412,2.458647058823529,0.04135976144729936,0.3215257259824817,normal,1.0
sub-0146,1.3921884,2.3731911764705877,-0.005792055596142376,-0.0450267316665602,normal,1.0
sub-0435,0.43309885,2.6637794117647062,0.18120864605649034,1.4086938473243964,normal,0.0
sub-0376,0.89607173,2.412970588235294,-0.01959627660454588,-0.15233905712581042,normal,0.0
sub-0380,0.9995929,2.3245147058823536,-0.09687123984520829,-0.7530651683699984,normal,2.0
sub-0124,0.7229723,2.340044117647058,-0.11121854366814388,-0.8645993531945046,normal,2.0
sub-0349,0.8513311,2.5527352941176473,0.11533616776972844,0.8966092592543357,normal,0.0
